date|time|description|vendor|amount
2024-04-05|02:33:38|Frozen Bloodworms|PetSmart|-131.69
2024-02-09|09:37:40|Filter Replacement Service|FreshFin Aquatics|-396.32
2023-02-09|11:14:08|Mystery Snail (Golden)|AquaWorld Supplies|-107.35
2024-06-04|10:11:09|Betta Tank Setup Lesson|AquaWorld Supplies|891.03
2025-08-31|12:21:08|Aquarium Expo Ticket Sales|PetSmart|593.54
2023-01-11|10:26:06|Pea Puffer Trio|PetSmart|-489.0
2023-07-17|08:24:46|Amazon Sword|FreshFin Aquatics|-11.03
2025-01-11|10:16:26|Glass Polishing Service|AquaLuxe Design|-266.35
2023-10-28|11:55:57|Water Wisteria|PetSmart|-443.37
2024-02-14|08:51:42|AquaFest Revenue|PetSmart|811.31
2025-03-19|09:10:14|Intro to Aquascaping Class|PetSmart|519.19
2024-11-25|08:52:28|Betta Revive|Seachem|-141.38
2023-09-16|06:14:47|Bumblebee Goby (Pair)|AquaWorld Supplies|-258.31
2025-10-13|09:02:22|Filter Replacement Service|Aquashella Expo|-38.23
2023-11-29|10:06:02|Opaline Gourami|Seachem|-68.3
2024-09-16|09:46:02|Anubias Nana|AquaLuxe Design|-468.29
2023-11-24|05:25:20|Aquashella Dallas Booth Sales|Tetra|79.58
2024-05-01|08:05:03|Algae Wafers|FreshFin Aquatics|-387.79
2024-08-03|12:12:03|Algae Wafers|Tetra|-279.92
2025-05-14|03:33:23|Pea Puffer Trio|Omega One|-223.38
2024-11-05|03:07:43|Water Conditioner - Prime|Tetra|-88.51
2025-07-28|02:40:32|Aquashella Orlando Booth Sales|FreshFin Aquatics|71.17
2023-05-16|08:03:17|Hardscape Design Basics|Omega One|1453.8
2023-08-01|01:30:43|Live Demo: Building a Nano Tank|Aquashella Expo|230.28
2023-09-26|09:54:33|Fish Food - Pellets|FreshFin Aquatics|-446.77
2025-10-02|10:00:48|Aquarium Expo Ticket Sales|FreshFin Aquatics|105.29
2023-09-06|04:36:30|Water Wisteria|Aquatic Plant Depot|-267.19
2025-02-23|04:43:35|Pump Repair|Fluval|-12.22
2024-02-24|01:09:06|Live Demo: Building a Nano Tank|Tetra|788.38
2025-01-06|09:31:07|Aquarium Salt|FreshFin Aquatics|-30.05
2023-12-05|07:36:35|Betta Fish (Halfmoon)|Aquashella Expo|-384.77
2025-02-07|02:53:44|Hornwort|Tetra|-443.64
2023-11-30|12:00:50|Hornwort|AquaWorld Supplies|-433.66
2024-08-30|08:58:58|Glass Polishing Service|Seachem|-266.05
2025-08-16|10:58:07|Betta Tank Setup Lesson|Aquashella Expo|50.22
2023-11-21|07:47:38|Anubias Nana|Tetra|-377.64
2024-07-30|01:52:50|Aquarium Expo Ticket Sales|Fluval|752.8
2023-10-22|04:42:30|AquaFest Revenue|Aquatic Plant Depot|1469.37
2023-01-22|02:30:11|AquaFest Revenue|AquaWorld Supplies|282.23
2025-04-28|09:10:51|Aquarium Expo Ticket Sales|Aquashella Expo|423.37
2024-02-27|11:43:43|Aquashella Chicago Vendor Payment|Aquatic Plant Depot|521.87
2023-06-27|10:46:35|Aquarium Setup Consultation|FreshFin Aquatics|-132.39
2024-04-20|04:57:36|AquaFest Revenue|Seachem|1380.81
2025-06-13|09:34:19|Glass Polishing Service|Fluval|-288.84
2023-09-06|07:06:06|Anubias Nana|Omega One|-330.8
2023-09-18|05:49:38|Planting Techniques Workshop|AquaWorld Supplies|1391.39
2025-09-08|04:21:33|Aquarium Expo Ticket Sales|Aquashella Expo|717.42
2023-09-06|05:20:26|Aquarium Setup Consultation|FreshFin Aquatics|-355.02
2024-03-31|10:10:55|Glass Polishing Service|Aquatic Plant Depot|-479.8
2024-12-02|04:45:44|Pea Puffer Trio|Seachem|-405.01
2023-05-19|08:49:32|Pump Repair|Aquatic Plant Depot|-419.23
2023-03-11|07:43:15|Tank Cleaning Service|Seachem|-34.36
2023-04-28|02:46:12|Tetra Flake Food|Omega One|-328.36
2023-05-27|04:57:09|Frozen Bloodworms|Fluval|-102.39
2024-11-02|05:27:18|Dwarf Hairgrass|Omega One|-357.7
2023-07-10|04:55:47|Planting Techniques Workshop|Fluval|1428.45
2024-03-15|01:45:46|Planting Techniques Workshop|AquaLuxe Design|1359.45
2023-06-01|10:34:50|Kuhli Loach (3 Pack)|Seachem|-47.01
2023-11-05|05:07:30|Hardscape Design Basics|Seachem|337.23
2024-04-10|11:59:11|Pygmy Corydoras Catfish (6 Pack)|Omega One|-495.09
2024-12-01|06:32:04|Glass Polishing Service|AquaWorld Supplies|-278.04
2025-02-14|08:16:52|Cryptocoryne Wendtii|AquaLuxe Design|-480.1
2025-09-02|06:42:06|Betta Fish (Halfmoon)|FreshFin Aquatics|-255.7
2024-06-01|02:16:04|Kuhli Loach (3 Pack)|AquaWorld Supplies|-98.45
2025-03-04|01:16:26|Betta Fish (Halfmoon)|FreshFin Aquatics|-364.49
2024-03-03|10:25:54|Betta Revive|Aquatic Plant Depot|-66.15
2025-05-19|11:32:07|Hardscape Design Basics|PetSmart|298.67
2024-07-04|06:43:34|Aquashella Orlando Booth Sales|AquaLuxe Design|1119.02
2023-10-18|06:22:40|Aquashella Orlando Booth Sales|Fluval|843.47
2023-10-15|07:49:49|Dwarf Hairgrass|Fluval|-234.47
2025-07-10|11:01:32|Tetra Flake Food|Aquatic Plant Depot|-76.81
2025-05-17|01:57:25|Aquarium Setup Consultation|FreshFin Aquatics|-191.93
2023-07-12|10:21:56|Betta Tank Setup Lesson|Omega One|469.17
2023-03-01|02:02:52|Hardscape Design Basics|Aquatic Plant Depot|142.93
2025-07-31|10:04:29|Aquashella Dallas Booth Sales|Fluval|775.05
2025-07-19|02:43:25|Water Quality Testing|PetSmart|-252.99
2024-09-06|07:11:14|Aquashella Orlando Booth Sales|Seachem|389.38
2024-12-05|02:28:42|Aquarium Salt|Omega One|-264.78
2023-08-15|06:57:05|Hardscape Design Basics|Aquatic Plant Depot|1340.73
2025-04-24|08:06:33|Water Conditioner - Prime|FreshFin Aquatics|-480.02
2024-09-06|07:11:14|Aquashella Orlando Booth Sales|Seachem|389.38
2025-02-24|05:14:38|Aquashella Chicago Vendor Payment|Fluval|488.12
2024-09-13|01:51:08|Betta Tank Setup Lesson|AquaWorld Supplies|289.86
2024-03-04|09:09:43|Opaline Gourami|PetSmart|-307.24
2023-07-02|07:03:53|Ich-X Treatment|Tetra|-442.15
2025-03-07|01:29:25|Aquashella Dallas Booth Sales|AquaLuxe Design|620.19
2025-09-10|08:38:49|Dwarf Hairgrass|AquaLuxe Design|-296.01
2025-07-23|09:37:16|Mystery Snail (Golden)|Seachem|-99.25
2023-01-23|10:28:18|Celestial Pearl Danio|Aquashella Expo|-113.77
2024-02-17|04:30:18|Cryptocoryne Wendtii|Tetra|-68.66
2024-09-01|12:52:01|Hornwort|Omega One|-468.06
2024-12-08|03:39:27|Vitamins for Tropical Fish|Omega One|-293.66
2023-11-07|05:11:00|Moneywort|PetSmart|-296.94
2025-06-27|01:14:17|Betta Tank Setup Lesson|Aquashella Expo|1245.55
2023-02-17|08:49:49|Intro to Aquascaping Class|Aquatic Plant Depot|751.26
2024-01-17|04:57:57|Pump Repair|Aquashella Expo|-39.03
2023-10-21|07:31:09|Kuhli Loach (3 Pack)|FreshFin Aquatics|-482.63
2025-08-08|03:50:33|Pygmy Corydoras Catfish (6 Pack)|FreshFin Aquatics|-299.99
2023-03-10|06:50:24|Hardscape Design Basics|PetSmart|891.69
2023-02-19|04:35:10|Amazon Sword|Aquatic Plant Depot|-432.94
2023-01-23|12:05:39|Algae Wafers|Aquatic Plant Depot|-341.46
2025-09-13|09:50:42|Aquashella Orlando Booth Sales|AquaLuxe Design|492.23
2025-09-25|01:51:37|Hardscape Design Basics|AquaWorld Supplies|1259.3
2025-10-10|12:29:38|Cherry Barbs (Pair)|FreshFin Aquatics|-143.54
2024-12-15|07:09:53|Pea Puffer Trio|FreshFin Aquatics|-71.79
2024-11-18|07:48:19|Planting Techniques Workshop|Seachem|1013.43
2024-11-02|03:24:28|Frozen Bloodworms|AquaLuxe Design|-418.86
2024-02-02|09:59:13|Fish Food - Pellets|Omega One|-357.77
2023-08-26|06:49:30|Celestial Pearl Danio|AquaWorld Supplies|-229.64
2025-05-20|04:16:50|Dwarf Hairgrass|Fluval|-494.2
2023-12-28|11:42:25|Mystery Snail (Golden)|AquaLuxe Design|-352.17
2023-10-16|10:41:50|Ich-X Treatment|FreshFin Aquatics|-169.37
2024-04-06|10:43:08|Intro to Aquascaping Class|AquaWorld Supplies|795.63
2025-08-26|06:52:14|Java Fern|Seachem|-252.03
2023-04-17|04:18:30|Aquashella Orlando Booth Sales|FreshFin Aquatics|930.89
2025-02-24|10:48:48|Hornwort|FreshFin Aquatics|-91.1
2023-04-20|03:52:57|Aquarium Expo Ticket Sales|AquaWorld Supplies|916.03
2023-07-01|11:47:15|Live Demo: Building a Nano Tank|Aquatic Plant Depot|407.3
2025-08-19|03:59:08|Aquashella Dallas Booth Sales|AquaLuxe Design|1414.35
2023-02-13|07:28:33|Betta Tank Setup Lesson|Aquatic Plant Depot|300.67
2024-09-18|05:23:46|Betta Tank Setup Lesson|FreshFin Aquatics|1180.31
2024-02-26|01:26:35|Ich-X Treatment|Aquashella Expo|-156.92
2025-07-31|09:53:31|Tank Cleaning Service|PetSmart|-134.42
2025-04-05|09:31:50|Dwarf Hairgrass|Aquatic Plant Depot|-109.11
2024-03-27|05:52:22|Planting Techniques Workshop|Seachem|1210.62
2025-06-14|12:14:04|Amazon Sword|Fluval|-46.12
2025-01-19|09:27:03|Dwarf Hairgrass|Tetra|-96.7
2025-02-07|01:36:00|Amazon Sword|Aquatic Plant Depot|-170.99
2023-09-14|10:50:21|AquaFest Revenue|PetSmart|249.55
2025-10-13|02:42:35|Live Demo: Building a Nano Tank|Aquashella Expo|1379.65
2024-01-09|02:39:51|Bumblebee Goby (Pair)|AquaLuxe Design|-318.42
2023-03-20|05:03:19|Hardscape Design Basics|AquaLuxe Design|962.25
2024-12-14|05:00:12|Betta Tank Setup Lesson|Aquatic Plant Depot|1491.62
2024-08-14|08:46:08|Aquarium Salt|Aquatic Plant Depot|-497.24
2023-09-06|09:43:00|Aquashella Orlando Booth Sales|Seachem|611.68
2024-04-29|03:48:41|Algae Wafers|AquaWorld Supplies|-258.48
2025-01-21|08:39:33|Aquashella Chicago Vendor Payment|Aquatic Plant Depot|884.37
2025-09-17|07:53:29|Aquarium Expo Ticket Sales|Aquatic Plant Depot|1297.0
2023-03-28|12:43:18|Opaline Gourami|FreshFin Aquatics|-285.28
2023-02-16|05:33:18|Intro to Aquascaping Class|Omega One|1018.76
2024-01-31|05:31:19|Tetra Flake Food|Aquatic Plant Depot|-77.37
2024-07-26|10:10:13|Ich-X Treatment|AquaWorld Supplies|-98.85
2023-01-26|10:31:08|Filter Replacement Service|Aquashella Expo|-107.28
2025-04-12|08:37:06|Filter Media Change|Aquatic Plant Depot|-326.97
2025-01-21|04:20:39|Glass Polishing Service|Tetra|-446.78
2025-01-01|01:20:24|Live Demo: Building a Nano Tank|Aquatic Plant Depot|472.48
2023-01-27|11:37:33|Aquarium Setup Consultation|AquaWorld Supplies|-390.21
2025-08-22|06:38:24|Aquashella Chicago Vendor Payment|AquaWorld Supplies|1063.56
2023-10-18|06:22:40|Aquashella Orlando Booth Sales|Fluval|843.47
2025-08-16|02:19:12|Planting Techniques Workshop|Omega One|749.25
2023-05-26|04:35:20|Algae Wafers|Omega One|-116.14
2024-08-18|09:42:53|Filter Media Change|Seachem|-77.84
2024-10-09|01:10:39|Filter Replacement Service|Seachem|-316.75
2023-06-09|10:25:09|Dwarf Hairgrass|AquaLuxe Design|-279.2
2023-11-22|01:53:33|Planting Techniques Workshop|Aquashella Expo|689.14
2023-06-02|10:52:25|Ludwigia Repens|AquaLuxe Design|-90.57
2024-04-12|04:21:09|Cryptocoryne Wendtii|FreshFin Aquatics|-15.78
2023-12-16|06:23:50|Filter Replacement Service|PetSmart|-356.08
2024-07-20|04:31:06|Filter Replacement Service|Seachem|-350.7
2025-08-02|10:34:24|Cryptocoryne Wendtii|FreshFin Aquatics|-370.27
2024-09-13|01:23:45|Java Fern|Seachem|-334.0
2025-02-28|04:31:01|Hornwort|Fluval|-44.74
2023-01-07|04:17:41|Angel Fish|AquaWorld Supplies|-395.15
2025-01-09|10:17:57|Algae Wafers|AquaWorld Supplies|-107.29
2023-07-10|07:29:59|Angel Fish|PetSmart|-409.54
2024-04-15|06:28:16|Aquashella Chicago Vendor Payment|Aquatic Plant Depot|1392.33
2023-10-20|03:32:03|Electric Blue Cichlid|PetSmart|-393.14
2024-04-26|04:59:20|AquaFest Revenue|Aquashella Expo|641.58
2024-07-29|04:48:20|Aquarium Setup Consultation|AquaLuxe Design|-140.29
2024-09-12|12:11:26|Anubias Nana|Fluval|-445.3
2023-03-19|03:30:40|Water Conditioner - Prime|PetSmart|-109.8
2024-07-21|11:41:10|Aquarium Expo Ticket Sales|Omega One|483.75
2024-09-08|02:50:17|Opaline Gourami|FreshFin Aquatics|-452.46
2023-01-26|09:10:27|Aquashella Orlando Booth Sales|FreshFin Aquatics|225.94
2024-11-04|04:22:22|Amazon Sword|Omega One|-284.69
2024-08-29|03:59:56|Aquarium Salt|AquaWorld Supplies|-317.5
2023-04-11|10:35:52|Ich-X Treatment|Seachem|-275.45
2024-06-12|07:18:21|Pygmy Corydoras Catfish (6 Pack)|Fluval|-253.0
2025-08-03|07:39:06|Planting Techniques Workshop|Omega One|95.87
2023-09-17|04:46:12|Tetra Flake Food|Tetra|-406.03
2023-09-02|11:39:59|Electric Blue Cichlid|Omega One|-465.05
2024-02-14|10:05:14|Betta Revive|Seachem|-198.63
2025-09-05|04:50:41|Glass Polishing Service|Fluval|-121.08
2025-09-06|04:47:53|Live Demo: Building a Nano Tank|Seachem|197.23
2024-01-19|10:09:46|Hardscape Design Basics|AquaLuxe Design|1236.49
2025-03-18|11:12:05|Amazon Sword|Aquatic Plant Depot|-372.77
2025-03-14|10:19:39|Live Demo: Building a Nano Tank|Tetra|1467.53
2025-10-08|06:20:49|Cherry Barbs (Pair)|Seachem|-17.7
2025-02-17|07:23:41|Celestial Pearl Danio|FreshFin Aquatics|-345.22
2024-02-25|10:46:09|Amazon Sword|Aquashella Expo|-17.64
2025-08-14|10:58:20|Betta Fish (Halfmoon)|Tetra|-267.14
2024-04-17|12:34:27|Tetra Flake Food|FreshFin Aquatics|-92.0
2025-02-12|01:21:36|Betta Revive|Aquatic Plant Depot|-251.75
2023-10-14|04:09:22|Hornwort|Fluval|-100.67
2024-06-21|07:39:07|Live Demo: Building a Nano Tank|AquaLuxe Design|768.09
2023-08-10|09:44:52|Mystery Snail (Golden)|Fluval|-227.38
2023-07-27|01:06:17|Planting Techniques Workshop|PetSmart|247.99
2023-11-10|08:00:07|Fish Food - Pellets|FreshFin Aquatics|-23.07
2025-07-15|11:51:17|Intro to Aquascaping Class|Omega One|408.48
2023-07-28|10:22:03|Mystery Snail (Golden)|Seachem|-65.78
2023-03-11|07:02:00|Aquashella Dallas Booth Sales|Fluval|61.94
2024-12-15|06:41:19|Tank Cleaning Service|Aquatic Plant Depot|-5.1
2024-03-21|10:49:32|Water Wisteria|AquaLuxe Design|-386.33
2023-03-20|05:03:19|Hardscape Design Basics|AquaLuxe Design|962.25
2025-04-27|07:24:02|Aquashella Chicago Vendor Payment|Tetra|371.06
2024-06-29|08:01:01|Amazon Sword|Aquatic Plant Depot|-35.59
2024-10-06|02:15:14|Algae Wafers|Aquashella Expo|-208.6
2025-04-12|08:37:06|Filter Media Change|Aquatic Plant Depot|-326.97
2023-03-24|04:49:39|Frozen Bloodworms|Aquashella Expo|-397.45
2024-11-13|12:12:14|Aquarium Expo Ticket Sales|Omega One|874.46
2025-09-05|04:50:41|Glass Polishing Service|Fluval|-121.08
2023-03-13|12:47:25|Angel Fish|AquaLuxe Design|-92.96
2024-10-22|05:22:20|Hardscape Design Basics|Tetra|363.26
2024-10-13|04:44:30|Betta Revive|AquaLuxe Design|-184.87
2024-11-10|06:22:30|Planting Techniques Workshop|Aquashella Expo|1427.89
2024-10-04|03:20:24|Water Quality Testing|Aquatic Plant Depot|-339.34
2024-10-29|07:04:40|Ich-X Treatment|Aquashella Expo|-154.75
2025-07-14|08:17:22|Aquashella Dallas Booth Sales|AquaLuxe Design|1491.66
2024-04-02|11:50:47|Water Conditioner - Prime|PetSmart|-310.1
2025-08-10|04:31:34|Aquashella Orlando Booth Sales|AquaWorld Supplies|524.8
2025-02-13|09:12:11|Betta Tank Setup Lesson|AquaLuxe Design|1145.78
2023-06-12|04:37:48|Hardscape Design Basics|AquaWorld Supplies|863.86
2023-09-03|02:15:38|Vitamins for Tropical Fish|Aquatic Plant Depot|-438.46
2025-01-15|12:43:19|Water Wisteria|Aquatic Plant Depot|-23.08
2024-04-27|12:19:24|Aquashella Dallas Booth Sales|Fluval|846.85
2024-04-08|10:57:15|Cryptocoryne Wendtii|AquaLuxe Design|-27.88
2024-08-17|07:33:48|Intro to Aquascaping Class|Aquashella Expo|817.7
2023-12-23|10:22:38|Tank Cleaning Service|AquaWorld Supplies|-475.87
2024-09-14|11:02:23|AquaFest Revenue|AquaWorld Supplies|949.32
2023-08-10|09:44:52|Mystery Snail (Golden)|Fluval|-227.38
2024-01-10|10:55:58|Aquashella Dallas Booth Sales|Aquatic Plant Depot|671.36
2023-10-05|12:08:48|Aquashella Orlando Booth Sales|PetSmart|128.12
2025-05-27|03:11:00|Intro to Aquascaping Class|FreshFin Aquatics|396.09
2024-12-05|12:56:43|Tank Cleaning Service|Aquatic Plant Depot|-363.3
2024-09-19|10:51:04|Vitamins for Tropical Fish|AquaLuxe Design|-422.09
2025-10-15|06:11:55|Pygmy Corydoras Catfish (6 Pack)|Tetra|-250.26
2024-06-30|08:05:44|Algae Wafers|Aquatic Plant Depot|-236.05
2023-05-16|12:56:13|Opaline Gourami|FreshFin Aquatics|-112.01
2023-09-13|07:16:20|Aquarium Expo Ticket Sales|AquaWorld Supplies|575.11
2024-06-29|11:15:55|Aquarium Expo Ticket Sales|Omega One|329.06
2025-09-19|01:02:05|Betta Tank Setup Lesson|Fluval|485.83
2024-10-16|06:22:46|Pea Puffer Trio|Seachem|-70.55
2025-02-15|06:19:13|Aquarium Salt|Aquashella Expo|-421.52
2024-11-18|06:32:23|Filter Replacement Service|Fluval|-155.17
2024-08-29|11:02:51|Cryptocoryne Wendtii|FreshFin Aquatics|-430.41
2023-08-22|06:56:11|Intro to Aquascaping Class|FreshFin Aquatics|352.58
2024-07-18|08:56:41|Aquashella Dallas Booth Sales|Fluval|1401.85
2024-07-22|08:52:22|AquaFest Revenue|AquaLuxe Design|764.1
2025-02-24|05:14:38|Aquashella Chicago Vendor Payment|Fluval|488.12
2025-06-28|06:08:56|Frozen Bloodworms|Omega One|-493.57
2024-07-19|03:45:48|Betta Tank Setup Lesson|AquaWorld Supplies|476.33
2024-03-28|12:55:40|Vitamins for Tropical Fish|Aquatic Plant Depot|-389.43
2024-11-05|05:36:03|Green Spotted Puffer Juvenile|FreshFin Aquatics|-304.39
